side,row,col,board_no,socket,label,shift
front,11,21,1,1,001-01,0
front,10,22,1,2,001-02,0
front,12,21,1,3,001-03,0.5
front,9,24,1,4,001-04,0.5
front,8,27,1,5,001-05,0
front,11,23,1,6,001-06,0
front,10,25,1,7,001-07,0
front,12,22,1,8,001-08,0.5
front,11,25,1,9,001-09,0
front,12,23,1,10,001-10,0.5
front,13,22,1,11,001-11,0
front,13,23,1,12,001-12,0
front,14,21,1,13,001-13,0.5
front,13,25,1,14,001-14,0
front,14,22,1,15,001-15,0.5
front,14,23,1,16,001-16,0.5
front,15,22,1,17,001-17,0
front,15,24,1,18,001-18,0
front,16,22,1,19,001-19,0
front,17,20,1,20,001-20,0.5
front,17,22,1,21,001-21,0.5
front,18,22,1,22,001-22,0
front,18,21,1,23,001-23,0
front,19,22,1,24,001-24,0.5
front,19,20,1,25,001-25,0.5
front,21,22,1,26,001-26,0
front,21,21,1,27,001-27,0
front,19,19,1,28,001-28,0.5
front,21,20,1,29,001-29,0
front,18,19,1,30,001-30,0
front,19,18,1,31,001-31,0.5
front,21,18,1,32,001-32,0
front,19,17,1,33,001-33,0.5
front,20,17,1,34,001-34,0
front,19,16,1,35,001-35,0.5
front,18,16,1,36,001-36,0
front,18,17,1,37,001-37,0
front,17,17,1,40,001-40,0.5
front,17,18,1,41,001-41,0.5
front,16,17,1,43,001-43,0
front,16,18,1,44,001-44,0
front,15,20,1,45,001-45,0
front,15,17,1,46,001-46,0
front,14,19,1,47,001-47,0.5
front,13,16,1,48,001-48,0
front,14,17,1,49,001-49,0.5
front,12,16,1,50,001-50,0.5
front,13,19,1,51,001-51,0
front,12,20,1,52,001-52,0.5
front,12,17,1,53,001-53,0.5
front,12,18,1,54,001-54,0.5
front,11,18,1,55,001-55,0
front,11,19,1,56,001-56,0
front,9,16,1,57,001-57,0.5
front,10,20,1,58,001-58,0
front,9,17,1,59,001-59,0.5
front,7,16,1,60,001-60,0.5
front,10,21,2,1,002-01,0
front,11,22,2,2,002-02,0
front,10,23,2,3,002-03,0
front,10,24,2,4,002-04,0
