side,row,col,board_no,socket,label,shift
back,0,7,76,1,076-01,0.5
back,0,6,76,2,076-02,0.5
back,1,6,76,3,076-03,0.5
back,0,4,76,4,076-04,0.5
back,0,3,76,5,076-05,0.5
back,1,4,76,6,076-06,0.5
back,2,6,76,7,076-07,0.5
back,1,3,76,8,076-08,0.5
back,1,2,76,9,076-09,0.5
back,2,4,76,10,076-10,0.5
back,2,3,76,11,076-11,0.5
back,3,8,76,12,076-12,0.5
back,4,6,76,13,076-13,0.5
back,4,8,76,14,076-14,0.5
back,4,5,76,15,076-15,0.5
back,5,6,76,16,076-16,0.5
back,5,5,76,17,076-17,0.5
back,6,8,76,18,076-18,0.5
back,6,6,76,19,076-19,0.5
back,6,5,76,20,076-20,0.5
back,7,8,76,21,076-21,0.5
back,7,6,76,22,076-22,0.5
back,8,7,76,23,076-23,0.5
back,8,6,76,24,076-24,0.5
back,10,8,76,25,076-25,0.5
back,11,8,76,26,076-26,0.5
back,9,9,76,27,076-27,0.5
back,11,9,76,28,076-28,0.5
back,8,9,76,29,076-29,0.5
back,10,11,76,30,076-30,0.5
back,8,10,76,31,076-31,0.5
back,9,11,76,32,076-32,0.5
back,8,11,76,34,076-34,0.5
back,9,12,76,35,076-35,0.5
back,8,12,76,36,076-36,0.5
back,7,12,76,40,076-40,0.5
back,7,10,76,41,076-41,0.5
back,5,13,76,42,076-42,0.5
back,6,10,76,43,076-43,0.5
back,4,13,76,44,076-44,0.5
back,5,9,76,45,076-45,0.5
back,4,12,76,46,076-46,0.5
back,5,10,76,47,076-47,0.5
back,4,9,76,48,076-48,0.5
back,4,11,76,49,076-49,0.5
back,1,14,76,50,076-50,0.5
back,2,12,76,51,076-51,0.5
back,3,9,76,52,076-52,0.5
back,3,10,76,53,076-53,0.5
back,1,12,76,54,076-54,0.5
back,0,13,76,55,076-55,0.5
back,0,12,76,56,076-56,0.5
back,0,11,76,57,076-57,0.5
back,1,10,76,58,076-58,0.5
back,0,10,76,59,076-59,0.5
back,0,8,76,60,076-60,0.5
back,2,8,77,1,077-01,0.5
back,1,7,77,2,077-02,0.5
back,2,7,77,3,077-03,0.5
back,0,5,77,4,077-04,0.5
back,1,5,77,5,077-05,0.5
back,0,2,77,6,077-06,0.5
back,0,1,77,7,077-07,0.5
back,2,5,77,8,077-08,0.5
back,3,6,77,9,077-09,0.5
back,3,7,77,10,077-10,0.5
back,3,5,77,11,077-11,0.5
back,4,7,77,12,077-12,0.5
back,3,4,77,13,077-13,0.5
back,3,3,77,14,077-14,0.5
back,5,7,77,15,077-15,0.5
back,4,4,77,16,077-16,0.5
back,5,8,77,17,077-17,0.5
back,6,7,77,18,077-18,0.5
back,5,4,77,19,077-19,0.5
back,6,9,77,20,077-20,0.5
back,7,9,77,21,077-21,0.5
back,7,7,77,22,077-22,0.5
back,8,8,77,23,077-23,0.5
back,9,7,77,24,077-24,0.5
back,9,8,77,25,077-25,0.5
back,10,9,77,26,077-26,0.5
back,12,9,77,27,077-27,0.5
back,10,10,77,28,077-28,0.5
back,11,10,77,29,077-29,0.5
back,9,10,77,30,077-30,0.5
back,7,11,77,41,077-41,0.5
back,6,12,77,42,077-42,0.5
back,5,12,77,43,077-43,0.5
back,6,11,77,44,077-44,0.5
back,5,11,77,45,077-45,0.5
back,3,13,77,46,077-46,0.5
back,2,14,77,47,077-47,0.5
back,3,12,77,48,077-48,0.5
back,2,13,77,49,077-49,0.5
back,4,10,77,50,077-50,0.5
back,3,11,77,51,077-51,0.5
back,1,13,77,52,077-52,0.5
back,0,14,77,53,077-53,0.5
back,2,11,77,54,077-54,0.5
