side,row,col,board_no,socket,label,shift
front,1,11,119,1,119-01,0.5
front,0,12,119,2,119-02,0
front,1,12,119,3,119-03,0.5
front,0,13,119,4,119-04,0
front,1,13,119,5,119-05,0.5
front,2,14,119,6,119-06,0
front,3,12,119,7,119-07,0.5
front,3,13,119,8,119-08,0.5
front,4,12,119,9,119-09,0
front,4,13,119,10,119-10,0
front,5,11,119,11,119-11,0.5
front,5,13,119,12,119-12,0.5
front,5,12,119,13,119-13,0.5
front,6,13,119,14,119-14,0
front,8,12,119,15,119-15,0
front,7,12,119,16,119-16,0.5
front,7,13,119,17,119-17,0.5
front,21,11,119,18,119-18,0.5
front,9,13,119,19,119-19,0.5
front,16,13,119,20,119-20,0
front,18,13,119,21,119-21,0
front,13,13,119,22,119-22,0.5
front,19,13,119,23,119-23,0.5
front,18,14,119,24,119-24,0
front,20,14,119,25,119-25,0
front,14,13,119,26,119-26,0
front,10,13,119,27,119-27,0
front,11,12,119,28,119-28,0.5
front,10,12,119,29,119-29,0
front,16,12,119,30,119-30,0
front,11,11,119,31,119-31,0.5
front,10,11,119,32,119-32,0
front,12,11,119,33,119-33,0
front,10,10,119,34,119-34,0
front,11,10,119,35,119-35,0.5
front,20,11,119,36,119-36,0
front,20,10,119,37,119-37,0
front,21,9,119,38,119-38,0.5
front,19,10,119,39,119-39,0.5
front,9,9,119,40,119-40,0.5
front,16,11,119,41,119-41,0
front,18,11,119,42,119-42,0
front,9,10,119,43,119-43,0.5
front,9,8,119,44,119-44,0.5
front,8,8,119,45,119-45,0
front,8,10,119,46,119-46,0
front,7,10,119,47,119-47,0.5
front,7,8,119,48,119-48,0.5
front,6,9,119,49,119-49,0
front,6,11,119,50,119-50,0
front,5,9,119,51,119-51,0.5
front,5,8,119,52,119-52,0.5
front,4,9,119,53,119-53,0
front,4,10,119,54,119-54,0
front,4,11,119,55,119-55,0
front,3,10,119,56,119-56,0.5
front,3,9,119,57,119-57,0.5
front,2,10,119,58,119-58,0
front,1,10,119,59,119-59,0.5
front,1,9,119,60,119-60,0.5
front,2,11,120,1,120-01,0
front,2,12,120,2,120-02,0
front,3,11,120,3,120-03,0.5
front,2,13,120,4,120-04,0
front,0,14,120,5,120-05,0
front,4,14,120,10,120-10,0
front,9,12,120,12,120-12,0.5
front,14,12,120,13,120-13,0
front,19,12,120,14,120-14,0.5
front,6,12,120,15,120-15,0
front,8,13,120,16,120-16,0
front,20,13,120,17,120-17,0
front,21,13,120,18,120-18,0.5
front,21,12,120,19,120-19,0.5
front,17,13,120,20,120-20,0.5
front,20,12,120,21,120-21,0
front,15,12,120,22,120-22,0.5
front,15,13,120,23,120-23,0.5
front,14,14,120,24,120-24,0
front,11,13,120,25,120-25,0.5
front,17,12,120,26,120-26,0.5
front,12,13,120,27,120-27,0
front,13,12,120,28,120-28,0.5
front,12,12,120,29,120-29,0
front,18,12,120,30,120-30,0
front,13,11,120,31,120-31,0.5
front,15,11,120,32,120-32,0.5
front,17,11,120,33,120-33,0.5
front,14,11,120,34,120-34,0
front,13,10,120,35,120-35,0.5
front,21,10,120,36,120-36,0.5
front,11,9,120,37,120-37,0.5
front,13,9,120,38,120-38,0.5
front,14,10,120,39,120-39,0
front,15,10,120,40,120-40,0.5
front,8,9,120,41,120-41,0
front,19,11,120,42,120-42,0.5
front,12,10,120,43,120-43,0
front,10,9,120,44,120-44,0
front,7,9,120,45,120-45,0.5
front,9,11,120,46,120-46,0.5
front,8,11,120,47,120-47,0
front,6,10,120,48,120-48,0
front,7,11,120,49,120-49,0.5
front,6,8,120,50,120-50,0
front,5,10,120,51,120-51,0.5
front,3,8,120,57,120-57,0.5
front,0,11,120,58,120-58,0
front,2,9,120,59,120-59,0
front,0,10,120,60,120-60,0
front,0,16,121,1,121-01,0
front,0,17,121,2,121-02,0
front,1,17,121,3,121-03,0.5
front,0,18,121,4,121-04,0
front,2,19,121,5,121-05,0
front,3,19,121,6,121-06,0.5
front,3,18,121,7,121-07,0.5
front,3,17,121,8,121-08,0.5
front,4,17,121,9,121-09,0
front,4,18,121,10,121-10,0
front,5,19,121,11,121-11,0.5
