side,row,shift,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
front,32,0.0,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C
front,31,0.5,0,0,0,0,0,0,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0,0,0,0,0,0
front,30,0.0,0,0,0,0,0,0,0,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0,0,0,0,0,0
front,29,0.5,0,0,0,0,0,0,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0,0,0,0,0,0
front,28,0.0,0,0,0,0,0,0,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0,0,0,0,0
front,27,0.5,0,0,0,0,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0,0,0,0
front,26,0.0,0,0,0,0,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0,0,0
front,25,0.5,0,0,0,0,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0,0,0,0
front,24,0.0,0,0,0,0,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0,0,0
front,23,0.5,0,0,0,0,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0,0,0,0
front,22,0.0,0,0,0,0,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0,0,0
front,21,0.5,0,0,0,0,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0,0,0,0
front,20,0.0,0,0,0,0,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0,0,0
front,19,0.5,0,0,0,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0,0,0
front,18,0.0,0,0,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0
front,17,0.5,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07
front,16,0.0,0,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C
front,15,0.5,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B
front,14,0.0,0,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05
front,13,0.5,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07
front,12,0.0,0,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C
front,11,0.5,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B
front,10,0.0,0,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05
front,9,0.5,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07
front,8,0.0,0,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C
front,7,0.5,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B
front,6,0.0,0,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05
front,5,0.5,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07
front,4,0.0,0,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C
front,3,0.5,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B
front,2,0.0,0,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05,0x0B,0x0C,0x07,0x05
