side,row,shift,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
front,11,0.5,0x04,0x03,0x00,0x0A,0x04,0x03,0x00,0x0A,0x04,0x03,0x00,0x0A,0x04,0x03,0x00,0x0A,0x04,0x03
front,10,0.5,0x0A,0x04,0x03,0x00,0x0A,0x04,0x03,0x00,0x0A,0x04,0x03,0x00,0x0A,0x04,0x03,0x00,0x0A,0x04
front,9,0.5,0x00,0x0A,0x04,0x03,0x00,0x0A,0x04,0x03,0x00,0x0A,0x04,0x03,0x00,0x0A,0x04,0x03,0x00,0x0A
front,8,0.5,0x03,0x00,0x0A,0x04,0x03,0x00,0x0A,0x04,0x03,0x00,0x0A,0x04,0x03,0x00,0x0A,0x04,0x03,0x00
front,7,0.5,0x04,0x03,0x00,0x0A,0x04,0x03,0x00,0x0A,0x04,0x03,0x00,0x0A,0x04,0x03,0x00,0x0A,0x04,0x03
front,6,0.5,0x0A,0x04,0x03,0x00,0x0A,0x04,0x03,0x00,0x0A,0x04,0x03,0x00,0x0A,0x04,0x03,0x00,0x0A,0x04
front,5,0.5,0x00,0x0A,0x04,0x03,0x00,0x0A,0x04,0x03,0x00,0x0A,0x04,0x03,0x00,0x0A,0x04,0x03,0x00,0x0A
front,4,0.5,0x03,0x00,0x0A,0x04,0x03,0x00,0x0A,0x04,0x03,0x00,0x0A,0x04,0x03,0x00,0x0A,0x04,0x03,0x00
front,3,0.5,0x04,0x03,0x00,0x0A,0x04,0x03,0x00,0x0A,0x04,0x03,0x00,0x0A,0x04,0x03,0x00,0x0A,0x04,0x03
front,2,0.5,0x0A,0x04,0x03,0x00,0x0A,0x04,0x03,0x00,0x0A,0x04,0x03,0x00,0x0A,0x04,0x03,0x00,0x0A,0x04
front,1,0.5,0x00,0x0A,0x04,0x03,0x00,0x0A,0x04,0x03,0x00,0x0A,0x04,0x03,0x00,0x0A,0x04,0x03,0x00,0x0A
front,0,0.5,0x03,0x00,0x0A,0x04,0x03,0x00,0x0A,0x04,0x03,0x00,0x0A,0x04,0x03,0x00,0x0A,0x04,0x03,0x00
back,11,0.5,0x04,0x03,0x00,0x0A,0x04,0x03,0x00,0x0A,0x04,0x03,0x00,0x0A,0x04,0x03,0x00,0x0A,0x04,0x03
back,10,0.5,0x0A,0x04,0x03,0x00,0x0A,0x04,0x03,0x00,0x0A,0x04,0x03,0x00,0x0A,0x04,0x03,0x00,0x0A,0x04
back,9,0.5,0x00,0x0A,0x04,0x03,0x00,0x0A,0x04,0x03,0x00,0x0A,0x04,0x03,0x00,0x0A,0x04,0x03,0x00,0x0A
back,8,0.5,0x03,0x00,0x0A,0x04,0x03,0x00,0x0A,0x04,0x03,0x00,0x0A,0x04,0x03,0x00,0x0A,0x04,0x03,0x00
back,7,0.5,0x04,0x03,0x00,0x0A,0x04,0x03,0x00,0x0A,0x04,0x03,0x00,0x0A,0x04,0x03,0x00,0x0A,0x04,0x03
back,6,0.5,0x0A,0x04,0x03,0x00,0x0A,0x04,0x03,0x00,0x0A,0x04,0x03,0x00,0x0A,0x04,0x03,0x00,0x0A,0x04
back,5,0.5,0x00,0x0A,0x04,0x03,0x00,0x0A,0x04,0x03,0x00,0x0A,0x04,0x03,0x00,0x0A,0x04,0x03,0x00,0x0A
back,4,0.5,0x03,0x00,0x0A,0x04,0x03,0x00,0x0A,0x04,0x03,0x00,0x0A,0x04,0x03,0x00,0x0A,0x04,0x03,0x00
back,3,0.5,0x04,0x03,0x00,0x0A,0x04,0x03,0x00,0x0A,0x04,0x03,0x00,0x0A,0x04,0x03,0x00,0x0A,0x04,0x03
back,2,0.5,0x0A,0x04,0x03,0x00,0x0A,0x04,0x03,0x00,0x0A,0x04,0x03,0x00,0x0A,0x04,0x03,0x00,0x0A,0x04
back,1,0.5,0x00,0x0A,0x04,0x03,0x00,0x0A,0x04,0x03,0x00,0x0A,0x04,0x03,0x00,0x0A,0x04,0x03,0x00,0x0A
back,0,0.5,0x03,0x00,0x0A,0x04,0x03,0x00,0x0A,0x04,0x03,0x00,0x0A,0x04,0x03,0x00,0x0A,0x04,0x03,0x00
