side,row,col,board_no,socket,label,shift
front,10,14,135,1,135-01,0.5
front,9,14,135,2,135-02,0.5
front,10,13,135,3,135-03,0.5
front,11,11,135,4,135-04,0.5
front,10,12,135,5,135-05,0.5
front,10,10,135,6,135-06,0.5
front,9,12,135,7,135-07,0.5
front,9,10,135,8,135-08,0.5
front,8,13,135,9,135-09,0.5
front,8,11,135,10,135-10,0.5
front,7,11,135,11,135-11,0.5
front,7,13,135,12,135-12,0.5
front,6,13,135,14,135-14,0.5
front,6,11,135,15,135-15,0.5
front,5,13,135,17,135-17,0.5
front,5,11,135,18,135-18,0.5
front,4,11,135,19,135-19,0.5
front,4,13,135,20,135-20,0.5
front,3,11,135,21,135-21,0.5
front,3,13,135,22,135-22,0.5
front,2,11,135,23,135-23,0.5
front,1,10,135,24,135-24,0.5
front,0,10,135,25,135-25,0.5
front,0,11,135,26,135-26,0.5
front,0,12,135,27,135-27,0.5
front,1,13,135,28,135-28,0.5
front,0,14,135,30,135-30,0.5
front,2,14,135,31,135-31,0.5
front,2,15,135,33,135-33,0.5
front,0,16,135,34,135-34,0.5
front,1,16,135,35,135-35,0.5
front,0,18,135,36,135-36,0.5
front,1,18,135,37,135-37,0.5
front,2,18,135,38,135-38,0.5
front,3,16,135,39,135-39,0.5
front,3,18,135,40,135-40,0.5
front,4,14,135,42,135-42,0.5
front,4,16,135,43,135-43,0.5
front,4,18,135,44,135-44,0.5
front,5,14,135,45,135-45,0.5
front,5,16,135,46,135-46,0.5
front,5,18,135,47,135-47,0.5
front,6,14,135,48,135-48,0.5
front,6,16,135,49,135-49,0.5
front,6,18,135,50,135-50,0.5
front,7,17,135,51,135-51,0.5
front,7,16,135,52,135-52,0.5
front,8,14,135,53,135-53,0.5
front,8,15,135,54,135-54,0.5
front,8,16,135,55,135-55,0.5
front,9,17,135,56,135-56,0.5
front,9,16,135,57,135-57,0.5
front,10,15,135,58,135-58,0.5
front,10,16,135,59,135-59,0.5
front,11,16,135,60,135-60,0.5
front,11,15,136,1,136-01,0.5
front,11,14,136,2,136-02,0.5
front,11,13,136,3,136-03,0.5
front,11,12,136,4,136-04,0.5
front,11,10,136,5,136-05,0.5
front,10,11,136,6,136-06,0.5
front,9,13,136,7,136-07,0.5
front,9,11,136,8,136-08,0.5
front,8,12,136,9,136-09,0.5
front,8,10,136,10,136-10,0.5
front,7,10,136,11,136-11,0.5
front,7,12,136,12,136-12,0.5
front,6,12,136,14,136-14,0.5
front,6,10,136,15,136-15,0.5
front,5,12,136,17,136-17,0.5
front,5,10,136,18,136-18,0.5
front,4,10,136,19,136-19,0.5
front,4,12,136,20,136-20,0.5
front,3,10,136,21,136-21,0.5
front,3,12,136,22,136-22,0.5
front,2,10,136,23,136-23,0.5
front,2,12,136,24,136-24,0.5
front,1,11,136,25,136-25,0.5
front,1,12,136,26,136-26,0.5
front,0,13,136,27,136-27,0.5
front,2,13,136,28,136-28,0.5
front,3,14,136,30,136-30,0.5
front,1,14,136,31,136-31,0.5
front,1,15,136,33,136-33,0.5
front,0,15,136,34,136-34,0.5
front,0,17,136,35,136-35,0.5
front,1,17,136,36,136-36,0.5
front,2,16,136,37,136-37,0.5
front,2,17,136,38,136-38,0.5
front,3,15,136,39,136-39,0.5
front,3,17,136,40,136-40,0.5
front,4,17,136,42,136-42,0.5
front,4,15,136,43,136-43,0.5
front,5,17,136,45,136-45,0.5
front,5,15,136,46,136-46,0.5
front,6,17,136,48,136-48,0.5
front,6,15,136,49,136-49,0.5
front,7,18,136,50,136-50,0.5
front,7,14,136,51,136-51,0.5
front,7,15,136,52,136-52,0.5
front,8,18,136,53,136-53,0.5
front,8,17,136,54,136-54,0.5
front,9,18,136,55,136-55,0.5
front,9,15,136,56,136-56,0.5
front,10,18,136,57,136-57,0.5
front,10,17,136,58,136-58,0.5
front,11,18,136,59,136-59,0.5
front,11,17,136,60,136-60,0.5
front,10,5,137,1,137-01,0.5
front,11,5,137,2,137-02,0.5
front,10,4,137,3,137-03,0.5
front,11,2,137,4,137-04,0.5
front,10,3,137,5,137-05,0.5
front,10,2,137,6,137-06,0.5
front,9,4,137,7,137-07,0.5
front,9,2,137,8,137-08,0.5
front,8,4,137,9,137-09,0.5
front,8,2,137,10,137-10,0.5
front,8,1,137,11,137-11,0.5
front,7,3,137,12,137-12,0.5
front,7,5,137,13,137-13,0.5
front,6,3,137,14,137-14,0.5
front,6,5,137,15,137-15,0.5
front,5,1,137,16,137-16,0.5
front,5,4,137,17,137-17,0.5
front,5,5,137,18,137-18,0.5
front,4,2,137,19,137-19,0.5
front,4,4,137,20,137-20,0.5
front,3,2,137,21,137-21,0.5
front,3,4,137,22,137-22,0.5
front,2,2,137,23,137-23,0.5
front,1,1,137,24,137-24,0.5
front,0,1,137,25,137-25,0.5
front,0,2,137,26,137-26,0.5
front,0,3,137,27,137-27,0.5
front,2,4,137,28,137-28,0.5
front,2,5,137,30,137-30,0.5
front,0,5,137,31,137-31,0.5
front,2,6,137,33,137-33,0.5
front,0,7,137,34,137-34,0.5
front,1,7,137,35,137-35,0.5
front,0,9,137,36,137-36,0.5
front,1,9,137,37,137-37,0.5
front,2,9,137,38,137-38,0.5
front,3,7,137,39,137-39,0.5
front,3,9,137,40,137-40,0.5
front,4,5,137,42,137-42,0.5
front,4,6,137,43,137-43,0.5
front,4,9,137,44,137-44,0.5
front,5,9,137,45,137-45,0.5
front,5,6,137,46,137-46,0.5
front,6,9,137,48,137-48,0.5
front,6,6,137,49,137-49,0.5
front,7,9,137,51,137-51,0.5
front,7,7,137,52,137-52,0.5
front,8,9,137,53,137-53,0.5
front,8,8,137,54,137-54,0.5
front,9,9,137,55,137-55,0.5
front,9,6,137,56,137-56,0.5
front,10,9,137,57,137-57,0.5
front,10,8,137,58,137-58,0.5
front,11,9,137,59,137-59,0.5
front,11,8,137,60,137-60,0.5
front,11,6,138,1,138-01,0.5
front,9,5,138,2,138-02,0.5
front,11,4,138,3,138-03,0.5
front,11,3,138,4,138-04,0.5
front,11,1,138,5,138-05,0.5
front,10,1,138,6,138-06,0.5
front,9,3,138,7,138-07,0.5
front,9,1,138,8,138-08,0.5
front,8,3,138,9,138-09,0.5
front,8,5,138,10,138-10,0.5
front,7,2,138,11,138-11,0.5
front,7,4,138,12,138-12,0.5
front,7,1,138,13,138-13,0.5
front,6,4,138,14,138-14,0.5
front,6,2,138,15,138-15,0.5
front,6,1,138,16,138-16,0.5
front,5,3,138,17,138-17,0.5
front,5,2,138,18,138-18,0.5
front,4,1,138,19,138-19,0.5
front,4,3,138,20,138-20,0.5
front,3,1,138,21,138-21,0.5
front,3,3,138,22,138-22,0.5
front,2,1,138,23,138-23,0.5
front,2,3,138,24,138-24,0.5
front,1,2,138,25,138-25,0.5
front,1,3,138,26,138-26,0.5
front,0,4,138,27,138-27,0.5
front,1,4,138,28,138-28,0.5
front,1,5,138,30,138-30,0.5
front,3,5,138,31,138-31,0.5
front,1,6,138,33,138-33,0.5
front,0,6,138,34,138-34,0.5
front,0,8,138,35,138-35,0.5
front,1,8,138,36,138-36,0.5
front,2,7,138,37,138-37,0.5
front,2,8,138,38,138-38,0.5
front,3,6,138,39,138-39,0.5
front,3,8,138,40,138-40,0.5
front,4,8,138,42,138-42,0.5
front,4,7,138,43,138-43,0.5
front,5,8,138,45,138-45,0.5
front,5,7,138,46,138-46,0.5
front,6,8,138,48,138-48,0.5
front,6,7,138,49,138-49,0.5
front,7,8,138,51,138-51,0.5
front,7,6,138,52,138-52,0.5
front,8,6,138,54,138-54,0.5
front,8,7,138,55,138-55,0.5
front,9,8,138,56,138-56,0.5
front,9,7,138,57,138-57,0.5
front,10,6,138,58,138-58,0.5
front,10,7,138,59,138-59,0.5
front,11,7,138,60,138-60,0.5
back,10,5,139,1,139-01,0.5
back,9,5,139,2,139-02,0.5
back,10,6,139,3,139-03,0.5
back,11,8,139,4,139-04,0.5
back,10,7,139,5,139-05,0.5
back,10,9,139,6,139-06,0.5
back,9,7,139,7,139-07,0.5
back,9,9,139,8,139-08,0.5
back,8,6,139,9,139-09,0.5
back,8,8,139,10,139-10,0.5
back,7,8,139,11,139-11,0.5
back,7,6,139,12,139-12,0.5
back,6,6,139,14,139-14,0.5
back,6,8,139,15,139-15,0.5
back,5,6,139,17,139-17,0.5
back,5,8,139,18,139-18,0.5
back,4,8,139,19,139-19,0.5
back,4,6,139,20,139-20,0.5
back,3,8,139,21,139-21,0.5
back,3,6,139,22,139-22,0.5
back,2,8,139,23,139-23,0.5
back,1,9,139,24,139-24,0.5
back,0,9,139,25,139-25,0.5
back,0,8,139,26,139-26,0.5
back,0,7,139,27,139-27,0.5
back,1,6,139,28,139-28,0.5
back,0,5,139,30,139-30,0.5
back,1,5,139,31,139-31,0.5
back,2,4,139,33,139-33,0.5
back,0,3,139,34,139-34,0.5
back,1,3,139,35,139-35,0.5
back,0,1,139,36,139-36,0.5
back,1,1,139,37,139-37,0.5
back,2,1,139,38,139-38,0.5
back,3,4,139,39,139-39,0.5
back,3,1,139,40,139-40,0.5
back,4,5,139,42,139-42,0.5
back,4,3,139,43,139-43,0.5
back,4,1,139,44,139-44,0.5
back,5,2,139,45,139-45,0.5
back,5,4,139,46,139-46,0.5
back,5,1,139,47,139-47,0.5
back,6,5,139,48,139-48,0.5
back,6,3,139,49,139-49,0.5
back,6,1,139,50,139-50,0.5
back,7,5,139,51,139-51,0.5
back,7,4,139,52,139-52,0.5
back,8,5,139,53,139-53,0.5
back,8,4,139,54,139-54,0.5
back,8,3,139,55,139-55,0.5
back,9,2,139,56,139-56,0.5
back,9,3,139,57,139-57,0.5
back,10,2,139,58,139-58,0.5
back,10,3,139,59,139-59,0.5
back,11,3,139,60,139-60,0.5
back,11,4,140,1,140-01,0.5
back,11,5,140,2,140-02,0.5
back,11,6,140,3,140-03,0.5
back,11,7,140,4,140-04,0.5
back,11,9,140,5,140-05,0.5
back,10,8,140,6,140-06,0.5
back,9,6,140,7,140-07,0.5
back,9,8,140,8,140-08,0.5
back,8,7,140,9,140-09,0.5
back,8,9,140,10,140-10,0.5
back,7,9,140,11,140-11,0.5
back,7,7,140,12,140-12,0.5
back,6,7,140,14,140-14,0.5
back,6,9,140,15,140-15,0.5
back,5,7,140,17,140-17,0.5
back,5,9,140,18,140-18,0.5
back,4,9,140,19,140-19,0.5
back,4,7,140,20,140-20,0.5
back,3,9,140,21,140-21,0.5
