side,row,shift,1,2,3,4,5,6,7,8,9,10,11,12
front,6,0.5,0x02,0x0F,0x09,0x07,0x02,0x0F,0x09,0x07,0x02,0x0F,0x09,0x07
front,5,0.5,0x07,0x02,0x0F,0x09,0x07,0x02,0x0F,0x09,0x07,0x02,0x0F,0x09
front,4,0.5,0x09,0x07,0x02,0x0F,0x09,0x07,0x02,0x0F,0x09,0x07,0x02,0x0F
front,3,0.5,0x0F,0x09,0x07,0x02,0x0F,0x09,0x07,0x02,0x0F,0x09,0x07,0x02
front,2,0.5,0x02,0x0F,0x09,0x07,0x02,0x0F,0x09,0x07,0x02,0x0F,0x09,0x07
front,1,0.5,0x07,0x02,0x0F,0x09,0x07,0x02,0x0F,0x09,0x07,0x02,0x0F,0x09
front,0,0.5,0x09,0x07,0x02,0x0F,0x09,0x07,0x02,0x0F,0x09,0x07,0x02,0x0F
back,6,0.5,0x02,0x0F,0x09,0x07,0x02,0x0F,0x09,0x07,0x02,0x0F,0x09,0x07
back,5,0.5,0x07,0x02,0x0F,0x09,0x07,0x02,0x0F,0x09,0x07,0x02,0x0F,0x09
back,4,0.5,0x09,0x07,0x02,0x0F,0x09,0x07,0x02,0x0F,0x09,0x07,0x02,0x0F
back,3,0.5,0x0F,0x09,0x07,0x02,0x0F,0x09,0x07,0x02,0x0F,0x09,0x07,0x02
back,2,0.5,0x02,0x0F,0x09,0x07,0x02,0x0F,0x09,0x07,0x02,0x0F,0x09,0x07
back,1,0.5,0x07,0x02,0x0F,0x09,0x07,0x02,0x0F,0x09,0x07,0x02,0x0F,0x09
back,0,0.5,0x09,0x07,0x02,0x0F,0x09,0x07,0x02,0x0F,0x09,0x07,0x02,0x0F
